motion_id,family,n_trials,success_rate,fall_rate,mean_impact,mean_com_margin,mean_cp_margin,mean_momentum_norm,recovery_success_rate,resume_success_rate
kw_long_stance,stable_stance,3,0.0,1.0,707.09,0.0,0.0,0.0,0.0,0.0
kt_vadivu_lowseat,stable_stance,3,0.0,1.0,770.5300000000001,0.0,0.0,0.0,0.0,0.0
kt_warrior_pose,stable_stance,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ky_warrior_lunge,stable_stance,3,0.0,1.0,624.98,0.0,0.0,0.0,0.0,0.0
kt_chuvadu_step,translational,3,0.0,1.0,39.14,0.0,0.0,0.0,0.0,0.0
kw_deep_reach,translational,3,0.0,1.0,1778.62,0.0,0.0,0.0,0.0,0.0
ky_deep_lunge,translational,3,0.0,1.0,969.12,0.0,0.0,0.0,0.0,0.0
pk_stance_transitions,translational,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ks_side_kick,explosive_strike,3,0.0,1.0,1638.66,0.0,0.0,0.0,0.0,0.0
kw_highkick_right,explosive_strike,3,0.0,1.0,1534.03,0.0,0.0,0.0,0.0,0.0
ky_kick_seq,explosive_strike,3,0.0,1.0,827.48,0.0,0.0,0.0,0.0,0.0
pk_kick_lunge,explosive_strike,3,0.0,1.0,1140.26,0.0,0.0,0.0,0.0,0.0
