motion_id,family,n_trials,success_rate,fall_rate,mean_impact,mean_com_margin,mean_cp_margin,mean_momentum_norm,recovery_success_rate,resume_success_rate
Cheruvadi_Payatt,compound,5,0.0,1.0,774.58,0.0,0.0,0.0,0.0,0.0
Valathu_Kaal_Eduthu,compound,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Idathu_Kaal_Thookki,compound,5,0.0,1.0,928.97,0.0,0.0,0.0,0.0,0.0
Otta_Payattu_Drill,compound,5,0.0,1.0,348.14,0.0,0.0,0.0,0.0,0.0
Othadi_Amarnnu,compound,5,0.0,1.0,1062.67,0.0,0.0,0.0,0.0,0.0
Long_Stick_Drill,compound,5,0.0,1.0,2656.08,0.0,0.0,0.0,0.0,0.0
Muchaan_Payattu,compound,5,0.0,1.0,1418.01,0.0,0.0,0.0,0.0,0.0
Cheruvadi_Drill,compound,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Long_stick_salutation,compound,5,0.0,1.0,258.62,0.0,0.0,0.0,0.0,0.0
Crossed_Hand_Defense,compound,5,0.0,1.0,506.08000000000004,0.0,0.0,0.0,0.0,0.0
iv_bend_kick_l,explosive_strike,5,0.0,1.0,1231.79,0.0,0.0,0.0,0.0,0.0
Vaalum_Parishayum,explosive_strike,5,0.0,1.0,1397.5,0.0,0.0,0.0,0.0,0.0
kw_guard_kick_l,explosive_strike,5,0.0,1.0,370.29,0.0,0.0,0.0,0.0,0.0
nk_kick_guard,explosive_strike,5,0.0,1.0,2525.69,0.0,0.0,0.0,0.0,0.0
ky_jump_kick,explosive_strike,5,0.0,1.0,1592.48,0.0,0.0,0.0,0.0,0.0
ks_side_kick,explosive_strike,5,0.0,1.0,1638.6600000000003,0.0,0.0,0.0,0.0,0.0
vb_leap_sequence,explosive_strike,5,0.0,1.0,539.46,0.0,0.0,0.0,0.0,0.0
oc_kick_demo,explosive_strike,5,0.0,1.0,7951.17,0.0,0.0,0.0,0.0,0.0
ks_kick_sequence,explosive_strike,5,0.0,1.0,1660.2,0.0,0.0,0.0,0.0,0.0
kw_guard_kick,explosive_strike,5,0.0,1.0,2244.4,0.0,0.0,0.0,0.0,0.0
fw_low_squat,stable_stance,5,0.0,1.0,1979.9900000000002,0.0,0.0,0.0,0.0,0.0
KS-014-14,stable_stance,5,0.0,1.0,2042.5,0.0,0.0,0.0,0.0,0.0
KS-023,stable_stance,5,0.0,1.0,5217.84,0.0,0.0,0.0,0.0,0.0
KS-001,stable_stance,5,0.0,1.0,5453.96,0.0,0.0,0.0,0.0,0.0
kt_warrior_pose,stable_stance,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ky_warrior_lunge,stable_stance,5,0.0,1.0,624.98,0.0,0.0,0.0,0.0,0.0
KS-024,stable_stance,5,0.0,1.0,2745.01,0.0,0.0,0.0,0.0,0.0
KS-014-9,stable_stance,5,0.0,1.0,817.25,0.0,0.0,0.0,0.0,0.0
KS-014-4,stable_stance,5,0.0,1.0,890.9199999999998,0.0,0.0,0.0,0.0,0.0
kt_vadivu_lowseat,stable_stance,5,0.0,1.0,770.53,0.0,0.0,0.0,0.0,0.0
kw_lunge_strike,translational,5,0.0,1.0,1561.96,0.0,0.0,0.0,0.0,0.0
KS-075,translational,5,0.0,1.0,639.43,0.0,0.0,0.0,0.0,0.0
fw_triangle_steps,translational,5,0.0,1.0,676.13,0.0,0.0,0.0,0.0,0.0
KS-054,translational,5,0.0,1.0,581.15,0.0,0.0,0.0,0.0,0.0
KS-082,translational,5,0.0,1.0,1394.09,0.0,0.0,0.0,0.0,0.0
kw_guard_step,translational,5,0.0,1.0,1523.02,0.0,0.0,0.0,0.0,0.0
kt_chuvadu_lowstance,translational,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KS-074_pt1,translational,5,0.0,1.0,940.79,0.0,0.0,0.0,0.0,0.0
KS-072,translational,5,0.0,1.0,744.18,0.0,0.0,0.0,0.0,0.0
ks_lunge_stretch,translational,5,0.0,1.0,1602.01,0.0,0.0,0.0,0.0,0.0
