motion_id,family,n_trials,success_rate,fall_rate,mean_impact,mean_com_margin,mean_cp_margin,mean_momentum_norm,recovery_success_rate,resume_success_rate
Cheruvadi_Payatt,compound,5,0.0,1.0,3741.41,0.0,0.0,0.0,0.0,0.0
Valathu_Kaal_Eduthu,compound,5,0.0,1.0,2942.64,0.0,0.0,0.0,0.0,0.0
Idathu_Kaal_Thookki,compound,5,0.0,1.0,2001.39,0.0,0.0,0.0,0.0,0.0
Otta_Payattu_Drill,compound,5,0.0,1.0,3234.82,0.0,0.0,0.0,0.0,0.0
Othadi_Amarnnu,compound,5,0.0,1.0,3847.09,0.0,0.0,0.0,0.0,0.0
Long_Stick_Drill,compound,5,0.0,1.0,1997.5099999999998,0.0,0.0,0.0,0.0,0.0
Muchaan_Payattu,compound,5,0.0,1.0,798.49,0.0,0.0,0.0,0.0,0.0
Cheruvadi_Drill,compound,5,0.0,1.0,762.64,0.0,0.0,0.0,0.0,0.0
Long_stick_salutation,compound,5,0.0,1.0,657.65,0.0,0.0,0.0,0.0,0.0
Crossed_Hand_Defense,compound,5,0.0,1.0,2060.85,0.0,0.0,0.0,0.0,0.0
iv_bend_kick_l,explosive_strike,5,0.0,1.0,899.5599999999998,0.0,0.0,0.0,0.0,0.0
Vaalum_Parishayum,explosive_strike,5,0.0,1.0,406.48,0.0,0.0,0.0,0.0,0.0
kw_guard_kick_l,explosive_strike,5,0.0,1.0,127.72999999999999,0.0,0.0,0.0,0.0,0.0
nk_kick_guard,explosive_strike,5,0.0,1.0,1115.06,0.0,0.0,0.0,0.0,0.0
ky_jump_kick,explosive_strike,5,0.0,1.0,3298.7399999999993,0.0,0.0,0.0,0.0,0.0
ks_side_kick,explosive_strike,5,0.0,1.0,1789.8699999999997,0.0,0.0,0.0,0.0,0.0
vb_leap_sequence,explosive_strike,5,0.0,1.0,2704.9,0.0,0.0,0.0,0.0,0.0
oc_kick_demo,explosive_strike,5,0.0,1.0,7045.42,0.0,0.0,0.0,0.0,0.0
ks_kick_sequence,explosive_strike,5,0.0,1.0,2951.12,0.0,0.0,0.0,0.0,0.0
kw_guard_kick,explosive_strike,5,0.0,1.0,2087.81,0.0,0.0,0.0,0.0,0.0
fw_low_squat,stable_stance,5,0.0,1.0,1212.5,0.0,0.0,0.0,0.0,0.0
KS-014-14,stable_stance,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KS-023,stable_stance,5,0.0,1.0,869.9199999999998,0.0,0.0,0.0,0.0,0.0
KS-001,stable_stance,5,0.0,1.0,977.15,0.0,0.0,0.0,0.0,0.0
kt_warrior_pose,stable_stance,5,0.0,1.0,2269.17,0.0,0.0,0.0,0.0,0.0
ky_warrior_lunge,stable_stance,5,0.0,1.0,702.9,0.0,0.0,0.0,0.0,0.0
KS-024,stable_stance,5,0.0,1.0,2005.83,0.0,0.0,0.0,0.0,0.0
KS-014-9,stable_stance,5,0.0,1.0,1019.8399999999999,0.0,0.0,0.0,0.0,0.0
KS-014-4,stable_stance,5,0.0,1.0,4232.18,0.0,0.0,0.0,0.0,0.0
kt_vadivu_lowseat,stable_stance,5,0.0,1.0,1288.22,0.0,0.0,0.0,0.0,0.0
kw_lunge_strike,translational,5,0.0,1.0,508.68,0.0,0.0,0.0,0.0,0.0
KS-075,translational,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fw_triangle_steps,translational,5,0.0,1.0,835.4799999999999,0.0,0.0,0.0,0.0,0.0
KS-054,translational,5,0.0,1.0,1894.17,0.0,0.0,0.0,0.0,0.0
KS-082,translational,5,0.0,1.0,1487.33,0.0,0.0,0.0,0.0,0.0
kw_guard_step,translational,5,0.0,1.0,60.67999999999999,0.0,0.0,0.0,0.0,0.0
kt_chuvadu_lowstance,translational,5,0.0,1.0,898.3,0.0,0.0,0.0,0.0,0.0
KS-074_pt1,translational,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KS-072,translational,5,0.0,1.0,4918.18,0.0,0.0,0.0,0.0,0.0
ks_lunge_stretch,translational,5,0.0,1.0,1546.49,0.0,0.0,0.0,0.0,0.0
