arm,seed,push_lateral_N,push_forward_N,jitter_frames,fell,final_base_z,min_base_z,peak_head_force_N,peak_torso_force_N,peak_head_torso_N,head_impulse_Ns,torso_impulse_Ns,entered_fall_mode,n_switch_events,switch_events,failure_time_s
tracking_only,0,404.53,-57.84,2,1,0.0603,0.0564,0.0,596.59,596.59,0.0,124.0114,1,2,"[{""step"": 124, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 162, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",3.2600000000000002
tracking_only,1,450.27,-44.84,0,1,0.0603,0.0566,0.0,583.59,583.59,0.0,153.8729,1,2,"[{""step"": 122, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 157, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",3.14
tracking_only,2,406.46,39.59,2,1,0.0603,0.0571,0.0,516.18,516.18,0.0,159.1283,1,2,"[{""step"": 124, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 165, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",3.3200000000000003
tracking_only,3,402.31,37.96,2,1,0.0603,0.0563,0.0,545.84,545.84,0.0,164.1259,1,2,"[{""step"": 124, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 165, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",3.3200000000000003
tracking_only,4,420.76,60.01,1,1,0.0603,0.0566,0.0,677.57,677.57,0.0,177.5863,1,2,"[{""step"": 123, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 163, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",3.2800000000000002
protective,0,404.53,-57.84,2,1,0.1586,0.0554,0.0,551.46,551.46,0.0,142.7122,1,2,"[{""step"": 124, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 155, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",3.08
protective,1,450.27,-44.84,0,1,0.1578,0.0558,0.0,582.98,582.98,0.0,144.4219,1,2,"[{""step"": 122, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 152, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",3.02
protective,2,406.46,39.59,2,1,0.1586,0.1441,0.0,0.0,0.0,0.0,0.0,1,2,"[{""step"": 124, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 157, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",3.12
protective,3,402.31,37.96,2,1,0.1586,0.144,0.0,0.0,0.0,0.0,0.0,1,2,"[{""step"": 124, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 157, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",3.12
protective,4,420.76,60.01,1,1,0.1586,0.1467,0.0,0.0,0.0,0.0,0.0,1,2,"[{""step"": 123, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 155, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",3.08
