scheme,param,armature,stands,final_base_z,min_base_z,upright_cos,both_feet_contact,mean_torque_norm,peak_torque_norm,max_kd_dt_over_I
flat,kp=80/40/30 kd=2.5,none,0,0.0604,0.046,0.0003,0,81.4,131.97,13.6476
flat,kp=80/40/30 kd=2.5,0.01,0,0.0617,0.0424,0.0483,1,16.41,66.05,0.4823
flat,kp=150/80/40 kd=4.0,none,0,0.0608,0.0589,0.026,0,117.27,154.87,21.8362
flat,kp=150/80/40 kd=4.0,0.01,0,0.0608,0.038,0.0371,1,17.57,49.16,0.7717
flat,kp=300/150/60 kd=8.0,none,0,0.0606,0.0587,0.0126,0,202.04,255.63,43.6724
flat,kp=300/150/60 kd=8.0,0.01,1,0.7755,0.7746,1.0,1,11.82,19.42,1.5435
flat,kp=600/300/100 kd=15.0,none,0,0.0591,0.0577,-0.0222,0,311.63,360.91,81.8858
flat,kp=600/300/100 kd=15.0,0.01,1,0.7764,0.7754,1.0,1,54.16,55.76,2.894
inertia_scaled,omega=16.0 zeta=1.0,none,0,0.0774,0.0597,0.1874,0,131.83,159.07,0.064
inertia_scaled,omega=16.0 zeta=1.0,0.01,0,0.0918,0.0743,-0.1646,0,126.61,135.96,0.064
inertia_scaled,omega=16.0 zeta=1.5,none,0,0.0778,0.0631,-0.1095,0,251.21,297.11,0.096
inertia_scaled,omega=16.0 zeta=1.5,0.01,0,0.0952,0.0681,-0.2361,0,129.14,141.63,0.096
inertia_scaled,omega=26.0 zeta=1.0,none,0,0.0668,0.0607,0.1037,0,279.68,300.16,0.104
inertia_scaled,omega=26.0 zeta=1.0,0.01,0,0.092,0.0794,-0.1824,0,130.69,150.55,0.104
inertia_scaled,omega=26.0 zeta=1.5,none,0,0.0673,0.0607,0.0323,0,295.35,331.89,0.156
inertia_scaled,omega=26.0 zeta=1.5,0.01,0,0.0927,0.0898,-0.2268,0,204.01,250.15,0.156
inertia_scaled,omega=40.0 zeta=1.0,none,0,0.0638,0.0593,0.0152,0,294.8,312.26,0.16
inertia_scaled,omega=40.0 zeta=1.0,0.01,0,0.0917,0.081,-0.1587,0,186.04,250.98,0.16
inertia_scaled,omega=40.0 zeta=1.5,none,0,0.1083,0.0758,-0.2084,0,304.51,333.26,0.24
inertia_scaled,omega=40.0 zeta=1.5,0.01,0,0.0619,0.0594,0.0418,0,276.44,289.38,0.24
torque_scaled,alpha=4.0,none,0,0.0724,0.0581,0.07,0,338.86,365.85,1.0
torque_scaled,alpha=4.0,0.01,0,0.0646,0.0424,0.0739,0,189.96,277.85,0.6105
torque_scaled,alpha=8.0,none,0,0.1026,0.0876,-0.1489,0,346.27,370.56,1.0
torque_scaled,alpha=8.0,0.01,0,0.0647,0.0618,0.0773,0,286.52,307.19,0.8634
torque_scaled,alpha=16.0,none,0,0.094,0.0586,-0.2081,0,352.41,370.61,1.0
torque_scaled,alpha=16.0,0.01,0,0.0635,0.0596,0.0667,0,322.68,349.68,1.0
