force_N,trial,jitter_frames,push_time_s,push_duration_s,fell,final_base_z,min_base_z,cp_margin_min,cp_margin_min_after_push,cp_margin_mean,n_switch_events,switch_events,entered_fall_mode,peak_grf_N,peak_torque_norm_Nm,failure_time_s
0.0,0,-2,2.36,0.1,0,0.7735,0.692,0.02608,0.05201,0.05993,0,[],0,349.1,83.2,
0.0,1,0,2.4,0.1,0,0.7735,0.692,0.02608,0.05201,0.05993,0,[],0,349.1,83.2,
0.0,2,2,2.44,0.1,0,0.7735,0.692,0.02608,0.05201,0.05993,0,[],0,349.1,83.2,
20.0,0,-2,2.36,0.1,0,0.7734,0.692,0.02608,0.05216,0.05996,0,[],0,349.1,83.2,
20.0,1,0,2.4,0.1,0,0.7734,0.692,0.02608,0.05215,0.05995,0,[],0,349.1,83.2,
20.0,2,2,2.44,0.1,0,0.7735,0.692,0.02608,0.05214,0.05995,0,[],0,349.1,83.2,
40.0,0,-2,2.36,0.1,0,0.7734,0.692,0.02608,0.05273,0.05997,0,[],0,349.1,83.2,
40.0,1,0,2.4,0.1,0,0.7734,0.692,0.02608,0.0526,0.05998,0,[],0,349.1,83.2,
40.0,2,2,2.44,0.1,0,0.7734,0.692,0.02608,0.05253,0.05997,0,[],0,349.1,83.2,
60.0,0,-2,2.36,0.1,0,0.7733,0.692,0.02608,0.05406,0.05998,0,[],0,349.1,83.2,
60.0,1,0,2.4,0.1,0,0.7733,0.692,0.02608,0.0534,0.06,0,[],0,349.1,83.2,
60.0,2,2,2.44,0.1,0,0.7734,0.692,0.02608,0.05332,0.05997,0,[],0,349.1,83.2,
80.0,0,-2,2.36,0.1,0,0.7731,0.692,0.02608,0.06023,0.0595,0,[],0,349.1,83.2,
80.0,1,0,2.4,0.1,0,0.7732,0.692,0.02608,0.06,0.05964,0,[],0,349.1,83.2,
80.0,2,2,2.44,0.1,0,0.7733,0.692,0.02608,0.05824,0.05974,0,[],0,349.1,83.2,
100.0,0,-2,2.36,0.1,0,0.7739,0.692,0.02608,0.03892,0.05681,0,[],0,349.1,83.2,
100.0,1,0,2.4,0.1,0,0.7739,0.692,0.02608,0.0424,0.0578,0,[],0,349.1,83.2,
100.0,2,2,2.44,0.1,0,0.7738,0.692,0.02608,0.04497,0.05827,0,[],0,349.1,83.2,
120.0,0,-2,2.36,0.1,1,0.1585,0.1415,-0.58463,-0.58463,-0.08353,2,"[{""step"": 133, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""cp_margin""}, {""step"": 170, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",1,1442.5,174.44,3.38
120.0,1,0,2.4,0.1,1,0.1599,0.1289,-0.59093,-0.59093,-0.05322,2,"[{""step"": 135, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""cp_margin""}, {""step"": 172, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",1,2045.9,174.78,3.42
120.0,2,2,2.44,0.1,1,0.0669,0.0669,-0.588,-0.588,-0.00742,2,"[{""step"": 137, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""cp_margin""}, {""step"": 176, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",1,1240.5,175.08,3.5
140.0,0,-2,2.36,0.1,1,0.159,0.152,-0.6115,-0.6115,-0.11884,2,"[{""step"": 130, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""cp_margin""}, {""step"": 165, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",1,3173.8,176.77,3.2800000000000002
140.0,1,0,2.4,0.1,1,0.1591,0.1519,-0.6186,-0.6186,-0.11521,2,"[{""step"": 132, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""cp_margin""}, {""step"": 167, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",1,1781.4,176.64,3.3200000000000003
140.0,2,2,2.44,0.1,1,0.1591,0.1528,-0.62371,-0.62371,-0.11153,2,"[{""step"": 134, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""cp_margin""}, {""step"": 169, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",1,3224.7,176.61,3.36
160.0,0,-2,2.36,0.1,1,0.1589,0.1519,-0.60073,-0.60073,-0.12803,2,"[{""step"": 129, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""cp_margin""}, {""step"": 162, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",1,1343.7,176.32,3.22
160.0,1,0,2.4,0.1,1,0.159,0.1517,-0.60182,-0.60182,-0.12136,2,"[{""step"": 131, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""cp_margin""}, {""step"": 164, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",1,1598.6,176.82,3.2600000000000002
160.0,2,2,2.44,0.1,1,0.159,0.1508,-0.59874,-0.59874,-0.11657,2,"[{""step"": 133, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""cp_margin""}, {""step"": 166, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",1,2392.4,176.77,3.3000000000000003
180.0,0,-2,2.36,0.1,1,0.1589,0.1528,-0.62156,-0.62156,-0.13271,2,"[{""step"": 123, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 159, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",1,1931.5,175.29,3.16
180.0,1,0,2.4,0.1,1,0.159,0.1546,-0.62109,-0.62109,-0.1279,2,"[{""step"": 125, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 161, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",1,3059.2,174.32,3.2
180.0,2,2,2.44,0.1,1,0.159,0.1546,-0.60431,-0.60431,-0.11864,2,"[{""step"": 127, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 163, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",1,1245.8,174.66,3.24
200.0,0,-2,2.36,0.1,1,0.159,0.1536,-0.62264,-0.62264,-0.13671,2,"[{""step"": 123, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 158, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",1,1825.2,174.4,3.14
200.0,1,0,2.4,0.1,1,0.159,0.1533,-0.62551,-0.62551,-0.13411,2,"[{""step"": 125, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 160, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",1,2081.1,175.15,3.18
200.0,2,2,2.44,0.1,1,0.159,0.1518,-0.62723,-0.62723,-0.12946,2,"[{""step"": 127, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 162, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",1,2451.0,175.54,3.22
240.0,0,-2,2.36,0.1,1,0.159,0.1524,-0.62405,-0.62405,-0.14012,2,"[{""step"": 122, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 156, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",1,2433.3,175.43,3.1
240.0,1,0,2.4,0.1,1,0.159,0.1524,-0.62903,-0.62903,-0.13756,2,"[{""step"": 124, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 158, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",1,2741.4,176.23,3.14
240.0,2,2,2.44,0.1,1,0.159,0.1538,-0.62886,-0.62886,-0.13251,2,"[{""step"": 126, ""from"": ""nominal"", ""to"": ""fall"", ""trigger"": ""momentum_norm""}, {""step"": 161, ""from"": ""fall"", ""to"": ""recovery"", ""trigger"": ""is_fallen""}]",1,3376.4,175.3,3.2
