step,t,motion_id,phase,phase_label,mode,base_x,base_y,base_z,upright_cos,com_x,com_y,com_z,com_vx,com_vy,com_vz,lin_momentum_norm,ang_momentum_norm,momentum_norm,cp_x,cp_y,cp_margin,com_margin,support_area,support_mode,contact_left,contact_right,grf_left,grf_right,grf_total,torque_norm,torque_max,tracking_err_rms,head_force,torso_force,push_force,source,trial
0,0.0,single_leg_front_kick,0.0,weight_shift,nominal,0.0028579987691578785,1.0371512553768548e-05,0.7754281258656032,0.9999682222762024,0.021578626937179664,0.00010528226912702852,0.6816920700518175,0.005565958965903974,0.00014190993277394146,-1.3366361876247127e-05,0.18563626997900998,0.046298741638296934,0.19132275925516454,0.023045861732014877,0.00014269095150757431,0.07128640823726459,0.0698191734583037,0.04965071613412247,double,1,1,163.6427764265791,163.33306560657186,326.975842033151,11.720257122596607,7.592852428479564,0.00902208596594895,0.0,0.0,0.0,authored_keyframe,0
1,0.02,single_leg_front_kick,0.004,weight_shift,nominal,0.0029744920349706965,1.3843464915249785e-05,0.7754328568155521,0.9999699288571158,0.02169486556797744,0.0001080470068718648,0.6816912492260826,0.005997968283176297,0.00013477034529565973,-5.996727132119066e-05,0.2000395798557237,0.04139076993947104,0.20427684485774858,0.02327598079340452,0.00014357361101892597,0.07151814092101817,0.06993702570869169,0.04965159279825144,double,1,1,163.67221480120293,163.34516179806718,327.01737659927005,11.726964774277635,7.583833862776121,0.009044835025847612,0.0,0.0,0.0,authored_keyframe,0
2,0.04,single_leg_front_kick,0.008,weight_shift,nominal,0.0031085364775901127,1.646268144551546e-05,0.7754353764927611,0.9999715871437984,0.0218188310993905,0.00010998263298499597,0.6816884754761717,0.006337282332989415,7.333929710554172e-05,-0.00016242050852762784,0.211375757772675,0.03734148711768284,0.21464877738792887,0.023489388982690443,0.0001293154533483181,0.07173296145917434,0.07006240355709979,0.049652554700411806,double,1,1,163.76679432318227,163.29357464515533,327.06036896833757,11.740385131906319,7.590853517368483,0.009044827873703722,0.0,0.0,0.0,authored_keyframe,0
3,0.06,single_leg_front_kick,0.012,weight_shift,nominal,0.003252540645195502,1.4552176737734728e-05,0.7754325124997538,0.9999733297732283,0.0219487760430101,0.00010908260741925583,0.6816815714200887,0.006587239742527457,-0.00011591944988410824,-0.0003764257685516028,0.22001834802531736,0.03423929940746587,0.2226665738086967,0.02368521588856019,7.85254758253508e-05,0.07193007437247748,0.07019363462268255,0.049653683026993835,double,1,1,164.04244062051293,163.11704839711055,327.1594890176235,11.76310341502374,7.6175345786948325,0.009034299494881392,0.0,0.0,0.0,authored_keyframe,0
4,0.08,single_leg_front_kick,0.016,weight_shift,nominal,0.0033994183717406517,9.327466580130804e-07,0.775421902793897,0.999975170888633,0.022082799016439846,0.00010237851347259065,0.6816688721934052,0.006738504500504104,-0.00046735984530072263,-0.0006489889096594277,0.22624625541771998,0.033077809141664936,0.2286515023964474,0.023859096704143212,-2.081947689321992e-05,0.07210519018214277,0.07032889309285516,0.049655073243127,double,1,1,164.5477284148,162.79998804285128,327.34771645765125,11.793149172899932,7.661392250960545,0.009023007196498603,0.0,0.0,0.0,authored_keyframe,0
5,0.1,single_leg_front_kick,0.02,weight_shift,nominal,0.003543613369314082,-3.306283408758022e-05,0.7754025377406029,0.9999770585359333,0.02221890356565948,8.641135040934184e-05,0.6816497126713448,0.0067908171352809256,-0.0009989855411418694,-0.0009384196611350885,0.2309792912402251,0.035102083252398414,0.23363131046693,0.024008965923513714,-0.00017692167382246524,0.07225628895760294,0.07046622783462284,0.04965680176286079,double,1,1,165.27019049462567,162.31423861654415,327.5844291111698,11.829212388147761,7.719884657487061,0.009016462328255388,0.0,0.0,0.0,authored_keyframe,0
6,0.12,single_leg_front_kick,0.024,weight_shift,nominal,0.003680875267385025,-9.62776332423635e-05,0.7753741687620963,0.9999788910437385,0.02235518989918501,5.748814761557842e-05,0.6816239881375773,0.0067528122149671885,-0.001717849704738019,-0.0012274020825976892,0.2358941671141243,0.0408360521645012,0.23940267591413483,0.024135200554931076,-0.0003953292389876658,0.07238381509311785,0.07060380506507086,0.04965893291787373,double,1,1,166.18591343376875,161.64739202068853,327.8333054544573,11.871708252582637,7.791353213254754,0.009017412810003598,0.0,0.0,0.0,authored_keyframe,0
7,0.14,single_leg_front_kick,0.028000000000000004,weight_shift,nominal,0.003808045942060757,-0.00019700612491023453,0.7753368067398164,0.9999805213866902,0.02248999242054861,1.1878931109377914e-05,0.6815917512152776,0.006638177154278883,-0.0026218582175406655,-0.0015143110435166523,0.24325939045201328,0.04971413398354186,0.24828738622978536,0.02423974441640219,-0.0006792146541273129,0.07248980595717885,0.07074004972773526,0.04966152554154646,double,1,1,167.2719548223949,160.80392519742847,328.07588001982333,11.922614137413966,7.874791903702793,0.009027066253357774,0.0,0.0,0.0,authored_keyframe,0
8,0.16,single_leg_front_kick,0.032,weight_shift,nominal,0.00392291842003646,-0.000342568934764736,0.7752904741778939,0.9999817619829169,0.02262193646989962,-5.401465447033417e-05,0.6815530078545938,0.006461724198166709,-0.0037010858285341486,-0.0018037395576805243,0.25545797710034707,0.06071238525204626,0.2625733645806336,0.02432512895825527,-0.0010295532860490938,0.07257690279903453,0.07087369194666705,0.049664635390201994,double,1,1,168.5066245329534,159.79998126962352,328.30660580257694,11.984960073766958,7.969469365298329,0.009045852687008919,0.0,0.0,0.0,authored_keyframe,0
9,0.18,single_leg_front_kick,0.036,weight_shift,nominal,0.0040240982554133374,-0.0005390606588296431,0.7752351320396172,0.9999823923664034,0.0227499273731887,-0.0001435190752628495,0.6815076594795159,0.006236537950640901,-0.004939296209580051,-0.0021010821424262494,0.2743422923788954,0.07287812116751215,0.28385720694147243,0.02439371019049023,-0.0014453840367413414,0.07264757741650543,0.07100374560841383,0.0496683162070769,double,1,1,169.86756597447345,158.65836761141233,328.5259335858858,12.062311011223485,8.07467754664011,0.00907389373447527,0.0,0.0,0.0,authored_keyframe,0
10,0.2,single_leg_front_kick,0.04,weight_shift,nominal,0.004110833842914819,-0.0007912213760108833,0.775170684883368,0.9999821686082475,0.022873096910753433,-0.0002595809755379973,0.6814555141662288,0.005972426692337566,-0.006315610282245082,-0.002410437603322357,0.3007493417609906,0.08545041898868456,0.31265306759251676,0.024447206915152103,-0.001924141436685167,0.07270366391077408,0.07112944832802963,0.049672620412297225,double,1,1,171.33083266658187,157.4052458296842,328.7360784962661,12.158327941216546,8.189620150342547,0.009111305894344656,0.0,0.0,0.0,authored_keyframe,0
11,0.22,single_leg_front_kick,0.044,weight_shift,nominal,0.004182823433178126,-0.0011024074466399448,0.7750970074549199,0.9999808327401042,0.022990731223257857,-0.0004046925039349486,0.6813963190987601,0.005675451888137585,-0.007806138285289015,-0.0027341755628010806,0.3344471628393602,0.09784022338154759,0.34846465250100855,0.0244865047218503,-0.00246201146348563,0.07274616009891254,0.07125018692620254,0.04967759965864919,double,1,1,172.87112357078843,156.06812610476794,328.93924967555637,12.276408923691273,8.313390227641781,0.009158389156014643,0.0,0.0,0.0,authored_keyframe,0
