step,t,motion_id,phase,phase_label,mode,base_x,base_y,base_z,upright_cos,com_x,com_y,com_z,com_vx,com_vy,com_vz,lin_momentum_norm,ang_momentum_norm,momentum_norm,cp_x,cp_y,cp_margin,com_margin,support_area,support_mode,contact_left,contact_right,grf_left,grf_right,grf_total,torque_norm,torque_max,tracking_err_rms,head_force,torso_force,push_force,source,trial
0,0.0,trunk_pivot_strike_prep,0.0,transition,nominal,0.0028579987691578785,1.0371512553768548e-05,0.7754281258656032,0.9999682222762024,0.021578626937179664,0.00010528226912702852,0.6816920700518175,0.005565958965903974,0.00014190993277394146,-1.3366361876247127e-05,0.18563626997900998,0.046298741638296934,0.19132275925516454,0.023045861732014877,0.00014269095150757431,0.07128640823726459,0.0698191734583037,0.04965071613412247,double,1,1,163.6427764265791,163.33306560657186,326.975842033151,11.720257122596607,7.592852428479564,0.00902208596594895,0.0,0.0,0.0,authored_keyframe,0
1,0.02,trunk_pivot_strike_prep,0.003846153846153846,transition,nominal,0.0029744920349706965,1.3843464915249785e-05,0.7754328568155521,0.9999699288571158,0.02169486556797744,0.0001080470068718648,0.6816912492260826,0.005997968283176297,0.00013477034529565973,-5.996727132119066e-05,0.2000395798557237,0.04139076993947104,0.20427684485774858,0.02327598079340452,0.00014357361101892597,0.07151814092101817,0.06993702570869169,0.04965159279825144,double,1,1,163.67221480120293,163.34516179806718,327.01737659927005,11.726054613657158,7.575399593960586,0.009022178920132266,0.0,0.0,0.0,authored_keyframe,0
2,0.04,trunk_pivot_strike_prep,0.007692307692307692,transition,nominal,0.0031074460265108953,1.747274191343567e-05,0.7754326837609995,0.9999716356729471,0.02181942163759481,0.00011069515624708555,0.6816864664739257,0.006377435069450636,0.00013207715680184546,-0.0002894469089288048,0.21289540248671768,0.03660929435821468,0.21602012136231183,0.023500561623426078,0.0001455116909662098,0.07174419712765195,0.07006305711757012,0.04965254348682193,double,1,1,163.6300338661951,163.42924878929227,327.05928265548744,11.745048675168231,7.562503728131073,0.008963060727417184,0.0,0.0,0.0,authored_keyframe,0
3,0.06,trunk_pivot_strike_prep,0.011538461538461537,transition,nominal,0.003247344311650177,2.1930021612720414e-05,0.775418986122733,0.9999734918161243,0.02195191064876809,0.00011351468598500952,0.6816713531819734,0.006742744487280243,0.0001540755030789364,-0.0008455635370434828,0.22662982530778858,0.031163142575363616,0.22876236398107797,0.023729329249061674,0.00015412970047038805,0.07197465361420388,0.07019723496717899,0.04965374339093283,double,1,1,163.52257184834758,163.72052333303787,327.24309518138546,11.788283594276391,7.578807855050387,0.00887389344462042,0.0,0.0,0.0,authored_keyframe,0
4,0.08,trunk_pivot_strike_prep,0.015384615384615384,transition,nominal,0.0033864393625353826,2.8037422744745222e-05,0.7753851756226601,0.9999754592467283,0.022091768355460926,0.00011727848033286312,0.6816408497856689,0.0070669757856648115,0.00022615991454643332,-0.0015889101744938094,0.2416207755293851,0.025513822268904352,0.24296410083423997,0.023954614143387006,0.00017689394485237436,0.07220182707256864,0.07033898119532685,0.04965531343640418,double,1,1,163.4123501111713,164.2561360358504,327.6684861470217,11.852638225804496,7.609560909746464,0.00877698441039061,0.0,0.0,0.0,authored_keyframe,0
5,0.1,trunk_pivot_strike_prep,0.019230769230769232,transition,nominal,0.0035198817285795217,3.702504857979884e-05,0.7753282325799459,0.9999774766173541,0.02223788038544599,0.00012325862429888869,0.6815926176774371,0.007325768182807274,0.0003725864908072453,-0.0024017361801194517,0.2573410012000791,0.020206571724462056,0.2581330983030168,0.024168875197519278,0.00022146847244640147,0.07241821077816848,0.07048721583587188,0.04965741576491638,double,1,1,163.26276146939918,164.97757338756406,328.2403348569633,11.934655327207004,7.6509440235601165,0.008684215185485355,0.0,0.0,0.0,authored_keyframe,0
6,0.12,trunk_pivot_strike_prep,0.023076923076923075,transition,nominal,0.0036444095537484047,5.063725765733696e-05,0.7752472811148401,0.9999794984631545,0.022388780105748594,0.00013318615645219344,0.6815260130806661,0.007507453697196964,0.0006151346087548024,-0.0032256999840552733,0.27320495910989345,0.015865064581513773,0.2736652151012513,0.024367568603087482,0.0002953211941379443,0.07261930838896057,0.07064051983985328,0.049660200755235334,double,1,1,163.03913422933948,165.82851185414768,328.8676460834872,12.033654982787159,7.700448489625483,0.008601509897896294,0.0,0.0,0.0,authored_keyframe,0
7,0.14,trunk_pivot_strike_prep,0.026923076923076925,transition,nominal,0.0037575455796845865,7.11182711315247e-05,0.7751423109718725,0.9999814877505117,0.022542891091990383,0.00014919654500595726,0.6814410769771118,0.007611166794600366,0.0009727203058285586,-0.004042824734036955,0.2891668551673766,0.013529532587297489,0.28948319187721644,0.024548890914405194,0.0004055667985307747,0.07280339070456718,0.07079739133379784,0.049663805198554525,double,1,1,162.72827290339498,166.77288098718543,329.5011538905804,12.151615856788208,7.756834722682187,0.008532340466798526,0.0,0.0,0.0,authored_keyframe,0
8,0.16,trunk_pivot_strike_prep,0.030769230769230767,transition,nominal,0.0038573156630646956,0.00010115032395363073,0.7750135064947703,0.999983403601958,0.022698691942380174,0.00017377059671144513,0.6813379891906595,0.007642077708788809,0.001461244901095356,-0.004852831085520194,0.30573401450399623,0.014434970250654953,0.30607459220076905,0.02471268629328633,0.0005588673057794426,0.07297039123292216,0.07095639885274219,0.049668354276449896,double,1,1,162.33349175476982,167.78951926075095,330.1230110155208,12.292181569474124,7.819612702283445,0.008479592956845422,0.0,0.0,0.0,authored_keyframe,0
9,0.18,trunk_pivot_strike_prep,0.03461538461538461,transition,nominal,0.003942185758062813,0.00014377474784158716,0.7748610120099497,0.9999851955414452,0.02285478789569306,0.00020967294363005587,0.681216876773193,0.007607117802869302,0.0020934887166455633,-0.0056598824409596505,0.32374438701398534,0.018511295350494096,0.3242731814051454,0.02485939071795827,0.0007613422484205203,0.07312083490132879,0.07111623755801459,0.04967396314311941,double,1,1,161.86623103334207,168.86400342454536,330.73023445788743,12.459721917649494,7.888602636714845,0.008446283277787675,0.0,0.0,0.0,authored_keyframe,0
